Points,GEO12_ID,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,TotPop,NatWalkInd,TotPop_scaled,NatWalkInd_scaled,score
"(-95.69464068195742, 31.003992288819145)",483130000000.0,0.011097724,0.225053865,0.189689453,0.724922989,0.125597411,0.335033949,0.537066037,0.642329661,3525,1.333333333,0.3775706940874036,0.0,0.5432507049717223
"(-95.69526992072014, 30.976388843299212)",483130000000.0,0.033211019,0.218499156,0.185684182,0.710040793,0.376341803,0.325271134,0.525721398,0.62913505,3525,1.333333333,0.3775706940874036,0.0,0.4615424095804179
"(-95.69870974578599, 31.032128894873722)",483130000000.0,0.010600525,0.230561578,0.193253209,0.736946166,0.119959634,0.343237332,0.547160117,0.652989454,3525,1.333333333,0.3775706940874036,0.0,0.5407083749282441
"(-95.70017696028107, 30.937789384179712)",483130000000.0,0.008546437,0.210992613,0.182927679,0.68698012,0.096668169,0.314090624,0.517913806,0.608689371,3525,1.333333333,0.3775706940874036,0.0,0.5667573054934615
"(-95.70169629674908, 30.960389232253892)",483130000000.0,0.020009314,0.210188185,0.179159098,0.69648592,0.226646636,0.31289248,0.507239575,0.617117249,3525,1.333333333,0.3775706940874036,0.0,0.5191321583195484
"(-95.7028101413343, 31.304008997632554)",482900000000.0,0.03185675,0.417268921,0.285909444,0.915192609,0.360985645,0.621325852,0.809602149,0.811023417,2435,7.666666667,0.26081833761782347,0.775510204131612,0.3918166546783872
"(-95.70552983644659, 30.963150362740823)",483130000000.0,0.024269999,0.206627145,0.175242974,0.694522892,0.274958875,0.307588541,0.496147437,0.615376822,3525,1.333333333,0.3775706940874036,0.0,0.503646140102157
"(-95.70653544991636, 30.95832318432165)",483130000000.0,0.020931099,0.205196994,0.174416374,0.691257096,0.237098827,0.305458424,0.493806154,0.612481354,3525,1.333333333,0.3775706940874036,0.0,0.5180163804499831
"(-95.70693998993828, 30.96451554068382)",483130000000.0,0.026172695,0.20536629,0.173806817,0.693982278,0.296533699,0.305710579,0.492079629,0.614897511,3525,1.333333333,0.3775706940874036,0.0,0.4965670821021571
"(-95.71062336428105, 31.059051756252895)",483130000000.0,0.009096039,0.231932886,0.193321514,0.742817194,0.102900154,0.345279806,0.547353586,0.65819473,3525,1.333333333,0.3775706940874036,0.0,0.544734361406505
